DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
20201201,0000,13.48625,13.52875,13.23425,13.377,5 499 000
20201202,0000,13.35125,13.6725,13.23575,13.5405,4 991 360
20201203,0000,13.5795,13.6595,13.34,13.39675,3 212 280
20201204,0000,13.4395,13.55925,13.4055,13.55925,4 349 520
20201207,0000,13.60625,13.7285,13.50125,13.60975,4 038 840
20201208,0000,13.59425,13.59425,13.292,13.34725,6 059 320
20201209,0000,13.3,13.414,12.869,12.93025,7 875 680
20201210,0000,12.9075,13.06775,12.8735,12.9805,3 906 680
20201211,0000,12.9885,13.01825,12.8265,13.01625,4 554 560
20201214,0000,13.0835,13.38775,13.07825,13.316,7 063 400
20201215,0000,13.44375,13.44725,13.1885,13.36225,3 333 680
20201216,0000,13.427,13.427,13.21275,13.23675,10 844 080
20201217,0000,13.353,13.3745,13.18025,13.34425,6 119 720
20201218,0000,13.375,13.39625,13.075,13.26775,7 839 560
20201221,0000,13.0925,13.369,12.972,13.321,7 775 080
20201222,0000,13.325,13.325,13.05975,13.27375,4 345 760
20201223,0000,13.2595,13.26,13.00525,13.0095,5 013 400
20201224,0000,13.03725,13.13075,12.942,12.99875,3 096 440
20201228,0000,13.05975,13.06175,12.76525,12.90475,6 034 960
20201229,0000,12.94125,13.069,12.84325,12.9465,4 687 440
20201230,0000,12.9995,13.21125,12.901,13.14825,5 710 960
20201231,0000,13.137,13.142375,12.91925,13.05175,6 257 120
20210104,0000,13.09125,13.652,12.9785,13.1095,13 895 560
20210105,0000,13.11125,13.43725,13.09325,13.41025,5 427 440
20210106,0000,13.2225,13.23875,12.58775,12.6175,13 747 000
20210107,0000,12.969,13.37625,12.88775,13.34175,11 774 400
20210108,0000,13.359,13.4085,13.044,13.2805,9 686 560
20210111,0000,13.415,13.958,13.36275,13.613,12 928 720
20210112,0000,13.7,13.74775,13.35275,13.48975,6 906 640
20210113,0000,13.47475,13.611,13.39,13.52825,6 428 200
20210114,0000,13.57725,13.57725,13.186,13.197,7 059 880
20210115,0000,13.2195,13.325,12.85075,12.86,8 126 560
20210119,0000,13.0185,13.09075,12.85125,13.02125,4 409 800
20210120,0000,13.1255,13.42975,13.0625,13.36675,5 894 280
20210121,0000,13.41875,13.99775,13.259,13.86075,10 577 800
20210122,0000,13.75225,13.83925,13.636,13.71175,9 699 600
20210125,0000,13.80875,13.8245,13.24325,13.659,6 275 440
20210126,0000,13.592,13.63725,13.3915,13.432,3 994 720
20210127,0000,13.2075,13.21875,12.79525,12.91875,10 695 320
20210128,0000,12.99125,13.33475,12.97775,13.04025,5 794 360
20210129,0000,13.069,13.33125,12.91825,12.97175,7 647 640
20210201,0000,13.06025,13.2675,12.90925,13.23625,6 797 520
20210202,0000,13.39525,13.571,13.292,13.556,5 449 560
20210203,0000,13.64375,13.9295,13.52025,13.52025,7 809 480
20210204,0000,13.525,13.67075,13.34375,13.67075,4 759 120
20210205,0000,13.73,13.73,13.54975,13.58725,5 354 560
20210208,0000,13.749,14.47325,13.749,14.4425,12 648 760
20210209,0000,14.3505,14.575,14.2225,14.25875,5 689 680
20210210,0000,14.4755,14.905,14.36125,14.768,12 823 240
20210211,0000,14.9875,15.27225,14.94025,15.25825,10 730 600
20210212,0000,15.028,15.29075,14.77675,14.9665,11 038 240
20210216,0000,15.0645,15.367,14.9695,15.318,6 437 840
20210217,0000,15.15475,15.20475,14.78075,14.90775,7 015 760
20210218,0000,14.725,14.86,14.587,14.82275,5 710 600
20210219,0000,15.0425,15.175,14.84775,14.9285,7 762 640
20210222,0000,14.779375,15.12975,14.32625,14.35675,6 560 200
20210223,0000,14.062,14.238,13.40075,14.1375,8 506 240
20210224,0000,14.105,14.505,13.76925,14.50475,7 913 080
20210225,0000,14.04575,14.34375,13.2165,13.30075,19 127 960
20210226,0000,13.7845,13.85,13.36675,13.72025,14 419 200
20210301,0000,13.88225,13.9185,13.55975,13.84825,6 285 640
20210302,0000,13.90025,13.90025,13.396,13.396,4 887 920
20210303,0000,13.45,13.45,12.799,12.8,6 730 760
20210304,0000,12.7975,12.97125,12.0905,12.3605,10 638 680
20210305,0000,12.538,12.538,11.6845,12.4545,10 052 160
20210308,0000,12.451,12.451,11.57025,11.59075,12 518 960
20210309,0000,12.13025,12.61275,12.07475,12.5245,13 734 840
20210310,0000,12.83375,12.978,12.458,12.46725,7 296 760
20210311,0000,12.925,13.04425,12.738,12.99425,6 389 480
20210312,0000,12.64525,12.88625,12.59975,12.8565,6 003 200
20210315,0000,12.86425,13.205,12.78425,13.200625,4 603 960
20210316,0000,13.372,13.51175,13.125,13.28775,6 120 840
20210317,0000,13.04575,13.4515,13,13.346,5 410 080
20210318,0000,13.13125,13.15375,12.71825,12.71825,7 873 360
20210319,0000,12.778,12.9215,12.619,12.858,6 407 160
20210322,0000,12.916375,13.39375,12.916375,13.191,5 937 400
20210323,0000,13.25475,13.3375,13.0255,13.0685,4 810 320
20210324,0000,13.128,13.128,12.63925,12.641,5 974 360
20210325,0000,12.471,12.704,12.275,12.52975,8 007 080
20210326,0000,12.52575,12.85625,12.377,12.848,11 377 200
20210329,0000,12.81925,13.0625,12.7,12.9345,6 332 640
20210330,0000,12.83425,12.97525,12.7165,12.87225,4 429 960
20210331,0000,13.01925,13.46925,12.99925,13.35275,8 549 200
20210401,0000,13.582,13.8695,13.5125,13.81825,9 935 600
20210405,0000,13.86325,14.01075,13.73525,13.977,6 834 440
20210406,0000,13.9885,14.052,13.775,13.86,4 082 200
20210407,0000,13.834,14.24225,13.719,14.1335,7 907 680
20210408,0000,14.25275,14.46875,14.25,14.318,4 771 320
20210409,0000,14.24975,14.4055,14.175,14.4,5 026 800
20210412,0000,14.292,15.3525,14.14525,15.20575,21 858 920
20210413,0000,15.2435,15.69825,15.13425,15.68,16 575 840
20210414,0000,15.61,15.7165,15.22925,15.27575,8 001 040
20210415,0000,15.6375,16.2125,15.6375,16.14025,15 665 040
20210416,0000,16.05975,16.16575,15.87025,15.91,8 347 960
20210419,0000,15.51875,15.7925,15.24375,15.35725,7 404 240
20210420,0000,15.308,15.4915,14.975,15.16525,7 884 360
20210421,0000,15.12425,15.359,15.11725,15.359,3 900 480
20210422,0000,15.421,15.4275,14.787,14.8475,8 025 880
20210423,0000,14.91975,15.33425,14.91975,15.2695,6 071 520
20210426,0000,15.179,15.474,15.125,15.474,3 777 560
20210427,0000,15.6,15.66725,15.35925,15.39025,3 620 080
20210428,0000,15.37175,15.5265,15.21825,15.2645,3 313 240
20210429,0000,15.3975,15.4245,15.0715,15.32575,4 261 240
20210430,0000,15.187,15.35625,14.99925,15.00925,5 609 720
20210503,0000,15.1275,15.23275,14.79075,14.8335,3 692 800
20210504,0000,14.59075,14.622,14.01725,14.358,5 252 200
20210505,0000,14.709,14.80525,14.394,14.462,5 514 360
20210506,0000,14.49475,14.57125,14.229,14.51525,3 053 960
20210507,0000,14.83625,14.9675,14.67575,14.81525,6 181 160
20210510,0000,14.7575,14.7575,14.2505,14.271,4 725 720
20210511,0000,13.805,14.35475,13.753,14.327,4 641 080
20210512,0000,14.03975,14.24325,13.70925,13.7575,4 785 000
20210513,0000,14.025,14.07875,13.47575,13.66175,4 787 360
20210514,0000,13.88825,14.32625,13.75675,14.2335,6 442 880
20210517,0000,14.15,14.16675,13.85525,14.16425,4 845 320
20210518,0000,14.273375,14.402,14.00525,14.01325,3 762 120
20210519,0000,13.56775,14.07625,13.559,14.07025,5 985 360
20210520,0000,14.2875,14.68325,14.27425,14.61025,8 606 400
20210521,0000,15.15775,15.218,14.87125,14.9895,16 751 680
20210524,0000,15.2255,15.741,15.2185,15.597,7 948 200
20210525,0000,15.75125,15.8,15.48375,15.64825,5 160 320
20210526,0000,15.73375,15.78975,15.58875,15.71,4 897 760
20210527,0000,15.68125,15.75,15.47225,15.48025,8 524 960
20210528,0000,15.51825,16.27575,15.51825,16.24525,18 116 560
20210601,0000,16.26525,16.3875,15.91275,16.25175,7 687 520
20210602,0000,16.264,16.9175,16.253,16.7875,12 890 600
20210603,0000,16.69275,17.2555,16.58675,16.96675,14 098 680
20210604,0000,17.135,17.65975,17.097,17.57975,17 174 920
20210607,0000,17.571,17.802,17.19675,17.624,10 702 240
20210608,0000,17.548,17.61475,17.2515,17.45375,6 440 840
20210609,0000,17.524,17.575,17.2565,17.35775,8 308 960
20210610,0000,17.353,17.49175,17.1855,17.4285,7 051 360
20210611,0000,17.451,17.93825,17.451,17.8245,15 364 240
20210614,0000,17.90475,18.03625,17.664,18.01725,8 478 760
20210615,0000,17.917,18.001,17.73075,17.7915,6 345 960
20210616,0000,17.7925,17.95125,17.5875,17.8005,6 459 040
20210617,0000,17.781,18.835,17.767,18.66475,19 275 280
20210618,0000,18.815,19.3745,18.5885,18.58875,23 963 240
20210621,0000,18.425,18.53175,17.8275,18.44125,10 831 000
20210622,0000,18.46425,18.9635,18.3975,18.89675,10 603 280
20210623,0000,19.01375,19.1485,18.914,19.05875,6 128 120
20210624,0000,19.25,19.417,19.099,19.20975,7 396 920
20210625,0000,19.28775,19.34275,18.8995,19.028,7 626 600
20210628,0000,19.36225,20.07275,19.32625,19.98625,9 064 120
20210629,0000,19.89825,20.095,19.65725,20.03125,8 581 000
20210630,0000,19.9925,20.1585,19.86625,20.016,7 671 320
20210701,0000,20.143,20.455,20.025,20.212,10 615 680
20210702,0000,20.44025,20.5015,20.2895,20.48725,9 073 640
20210706,0000,20.7375,20.8375,20.35525,20.699,7 252 920
20210707,0000,20.86475,20.86625,20.34075,20.3725,7 004 080
20210708,0000,19.772875,20.12875,19.7055,19.90275,9 396 840
20210709,0000,19.9625,20.076,19.75875,20.04775,5 694 760
20210712,0000,20.24675,20.5305,20.1925,20.51775,5 215 400
20210713,0000,20.404,20.45,20.1225,20.24125,4 113 440
20210714,0000,20.3585,20.4145,19.7585,19.82375,4 818 800
20210715,0000,19.844,19.844,18.86375,18.96925,10 246 080
20210716,0000,19.01525,19.15,18.0775,18.15975,13 487 200
20210719,0000,17.901,19.02,17.8655,18.77875,11 358 440
20210720,0000,18.727,18.834,18.166,18.606,8 452 290
20210721,0000,18.912,19.527,18.755,19.423,7 228 390
20210722,0000,19.65,19.88,19.277,19.6,6 278 140
20210723,0000,19.678,19.69,19.253,19.553,6 133 500
20210726,0000,19.311,19.438,18.924,19.289,4 933 070
20210727,0000,19.264,19.618,18.745,19.211,6 014 840
20210728,0000,19.298,19.641,18.995,19.503,5 053 890
20210729,0000,19.518,19.852,19.354,19.656,6 043 550
20210730,0000,19.434,19.621,19.277,19.505,6 395 460
20210802,0000,19.694,19.96,19.362,19.752,6 651 430
20210803,0000,19.8,20.217,19.225,19.826,9 869 920
20210804,0000,19.967,20.316,19.828,20.276,8 714 210
20210805,0000,20.492,20.727,20.349,20.637,8 338 990
20210806,0000,20.481,20.5655,20.212,20.359,6 187 750
20210809,0000,20.422,20.506,20.15,20.296,3 422 560
20210810,0000,20.323,20.413,19.837,19.941,5 161 900
20210811,0000,20.025,20.041,19.431,19.697,5 219 340
20210812,0000,19.864,20.025,19.625,19.9,4 695 160
20210813,0000,19.922,20.211,19.854,20.195,5 598 900
20210816,0000,20.135,20.283,19.463,19.957,7 353 090
20210817,0000,19.675,19.762,19.27,19.458,5 377 830
20210818,0000,19.488,19.628,19,19.035,8 018 490
20210819,0000,19.495,20.493,18.763,19.808,22 758 120
20210820,0000,20.001,20.8615,19.942,20.82,23 726 970
20210823,0000,20.955,21.996,20.95,21.955,15 341 270
20210824,0000,21.772,21.958,21.535,21.788,9 089 690
20210825,0000,21.725,22.469,21.725,22.202,10 758 080
20210826,0000,22.187,22.339,21.796,22.071,5 706 720
20210827,0000,22.189,22.722,22.185,22.635,11 220 260
20210830,0000,22.819,23.043,22.555,22.684,7 965 830
20210831,0000,22.683,22.684,22.124,22.371,7 856 820
20210901,0000,22.485,22.695,22.361,22.433,6 877 740
20210902,0000,22.498,22.585,22.296,22.39,6 176 340
20210903,0000,22.327,22.985,22.201,22.848,10 481 740
20210907,0000,22.836,22.895,22.525,22.654,6 803 010
20210908,0000,22.481,22.603,21.978,22.337,8 088 440
20210909,0000,22.307,22.534,22.131,22.171,6 510 780
20210910,0000,22.322,22.626,22.273,22.473,9 686 410
20210913,0000,22.699,22.95,21.862,22.153,8 917 150
20210914,0000,22.275,22.405,22.098,22.251,5 481 910
20210915,0000,22.305,22.356,21.971,22.342,3 830 090
20210916,0000,22.161,22.273,21.928,22.238,4 266 590
20210917,0000,22.32,22.32,21.848,21.9,7 127 310
20210920,0000,21.134,21.433,20.668,21.126,10 302 590
20210921,0000,21.391,21.405,20.951,21.24,5 637 020
20210922,0000,21.369,21.958,21.197,21.956,7 440 490
20210923,0000,22.12,22.534,21.9,22.482,7 895 390
20210924,0000,22.072,22.147,21.862,22.086,6 863 230
20210927,0000,21.716,21.775,21.328,21.657,6 259 390
20210928,0000,21.201,21.403,20.651,20.702,8 353 410
20210929,0000,20.933,21.016,20.468,20.522,6 069 020
20210930,0000,20.789,21.065,20.689,20.712,5 376 970
20211001,0000,20.77,20.8485,20.204,20.723,6 574 060
20211004,0000,20.49,20.52,19.555,19.732,9 322 000
20211005,0000,19.95,20.648,19.86,20.451,7 365 760
20211006,0000,20.1,20.72,20.087,20.703,6 411 410
20211007,0000,21.1145,21.321,20.984,21.087,9 004 940
20211008,0000,21.127,21.201,20.778,20.825,4 068 120
20211011,0000,20.58,21.054,20.52,20.687,3 130 950
20211012,0000,20.85,21.05,20.533,20.667,3 616 070
20211013,0000,20.925,20.987,20.714,20.941,3 731 940
20211014,0000,21.286,21.753,21.135,21.745,6 653 470
20211015,0000,21.815,21.921,21.667,21.862,6 558 150
20211018,0000,21.73,22.29,21.665,22.221,5 537 780
20211019,0000,22.283,22.377,22.039,22.291,4 493 740
20211020,0000,22.293,22.433,21.982,22.109,3 957 960
20211021,0000,22.103,22.71,22.093,22.683,5 449 160
20211022,0000,22.839,23.125,22.5625,22.726,7 552 210
20211025,0000,22.9645,23.351,22.78,23.152,6 384 050
20211026,0000,23.978,25.259,23.925,24.705,12 909 220
20211027,0000,24.456,25.088,24.288,24.446,7 539 180
20211028,0000,24.878,24.95,24.526,24.95,6 435 810
20211029,0000,25.0005,25.708,25.0005,25.568,8 229 900
20211101,0000,25.648,25.885,25.23,25.847,6 346 910
20211102,0000,25.84,26.676,25.803,26.401,7 632 550
20211103,0000,26.67,26.776,26.24,26.59,6 548 450
20211104,0000,27.225,31.349,27.125,29.786,29 485 130
20211105,0000,30.187,31.329,29.421,29.749,19 427 700
20211108,0000,30.178,31.026,29.932,30.803,9 139 720
20211109,0000,32.282,32.3,29.973,30.648,12 465 660
20211110,0000,29.304,30.836,28.788,29.441,12 953 170
20211111,0000,30.468,30.59,29.792,30.388,5 888 510
20211112,0000,30.017,30.68,29.6315,30.39,8 977 800
20211115,0000,30.575,30.64,29.249,30.032,6 809 170
20211116,0000,29.759,30.376,29.741,30.192,4 755 170
20211117,0000,30.502,30.505,28.8,29.247,8 305 130
20211118,0000,32.336,32.751,31.33,31.661,16 208 260
20211119,0000,32.243,33.086,31.965,33,13 983 140
20211122,0000,33.517,34.611,31.905,31.919,15 008 310
20211123,0000,31.532,32.353,30.889,31.758,9 088 370
20211124,0000,31.435,32.852,30.944,32.675,7 398 610
20211126,0000,32.543,32.71,31.354,31.509,5 808 300
20211129,0000,32.421,33.412,32.057,33.382,7 815 740
20211130,0000,33.22,33.35,31.881,32.701,9 974 970
20211201,0000,33.241,33.285,31.392,31.407,9 059 630
20211202,0000,31.214,32.47,31.033,32.097,7 586 680
20211203,0000,32.018,32.129,30.135,30.743,9 712 280
20211206,0000,29.798,30.235,28.048,30.033,11 496 830
20211207,0000,30.98,32.449,30.655,32.449,10 144 780
20211208,0000,31.981,32.29,31.451,31.823,8 484 380
20211209,0000,31.708,32.198,30.4335,30.485,9 214 010
20211210,0000,31.163,31.304,29.861,30.208,10 908 630
20211213,0000,30.2185,30.276,28.121,28.136,9 196 320
20211214,0000,27.699,28.661,27.25,28.356,9 820 060
20211215,0000,28.4,30.5,27.895,30.472,12 403 340
20211216,0000,31.153,31.153,28.097,28.4,15 115 650
20211217,0000,27.985,28.911,27.766,27.788,10 430 110
20211220,0000,27.305,28.139,27.15,27.734,7 273 340
20211221,0000,28.426,29.117,27.408,29.08,8 591 550
20211222,0000,28.892,29.55,28.5385,29.403,7 466 650
20211223,0000,29.743,30.057,29.45,29.625,7 400 230
20211227,0000,29.66,31.083,29.654,30.951,7 451 380
20211228,0000,31.314,31.326,30.019,30.322,7 451 750
20211229,0000,30.273,30.537,29.374,29.993,7 717 340
20211230,0000,29.812,30.455,29.541,29.579,6 575 990
20211231,0000,29.673,30.03,29.335,29.398,6 224 180
20220103,0000,29.815,30.704,29.8005,30.116,7 556 390
20220104,0000,30.277,30.454,28.35,29.298,10 226 710
20220105,0000,28.921,29.4,27.535,27.602,9 173 260
20220106,0000,27.595,28.434,27.072,28.193,8 786 050
20220107,0000,28.17,28.408,27.065,27.233,8 259 430
20220110,0000,26.581,27.467,25.647,27.414,11 347 940
20220111,0000,27.315,28,26.85,27.822,7 978 480
20220112,0000,28.0665,28.578,27.613,27.99,6 140 250
20220113,0000,28.381,28.444,26.507,26.56,11 667 210
20220114,0000,26.309,27.185,26.23,26.917,7 344 370
20220118,0000,26.26,26.632,25.775,25.901,9 018 740
20220119,0000,26.084,26.54,25.059,25.06,10 044 200
20220120,0000,25.297,25.575,24.078,24.15,8 104 030
20220121,0000,23.507,24.812,23.268,23.351,18 691 000
20220124,0000,22.33,23.373,20.893,23.373,22 761 110
20220125,0000,22.546,22.937,22,22.321,14 377 130
20220126,0000,23.24,24.045,22.301,22.819,17 363 300
20220127,0000,23.575,23.986,21.676,21.94,12 180 160
20220128,0000,22.011,22.855,21.3,22.85,13 029 110
20220131,0000,23.174,24.507,23.058,24.507,10 226 870
20220201,0000,25.107,25.141,23.896,24.651,9 311 780
20220202,0000,25.73,25.817,24.572,25.249,9 747 370
20220203,0000,24.377,25.076,23.786,23.944,9 234 360
20220204,0000,23.948,24.635,23.662,24.313,7 993 940
20220207,0000,24.364,25.175,24.202,24.759,6 151 350
20220208,0000,24.34,25.228,23.985,25.093,8 054 290
20220209,0000,25.622,26.724,25.364,26.717,10 705 090
20220210,0000,25.995,26.912,25.6,25.841,11 694 020
20220211,0000,25.92,26.15,23.776,23.951,15 823 640
20220214,0000,23.938,24.874,23.762,24.253,7 808 120
20220215,0000,24.934,26.54,24.788,26.512,10 466 380
20220216,0000,26.238,26.58,25.555,26.523,16 635 590
20220217,0000,25.628,25.78,24.168,24.534,16 309 020
20220218,0000,24.74,24.977,23.1,23.603,13 027 330
20220222,0000,23.035,24.061,23,23.409,13 502 320
20220223,0000,23.802,24.151,22.305,22.388,11 608 920
20220224,0000,21.015,23.793,20.891,23.73,14 606 300
20220225,0000,23.721,24.214,23.384,24.16,12 201 060
20220228,0000,23.958,24.664,23.714,24.385,8 113 020
20220301,0000,24.275,24.37,23.134,23.46,7 888 970
20220302,0000,23.756,24.407,23.422,24.216,8 297 460
20220303,0000,24.2615,24.313,23.472,23.715,7 429 540
20220304,0000,23.389,23.666,22.486,22.928,9 489 150
20220307,0000,22.838,23.031,21.336,21.366,8 746 000
20220308,0000,21.29,22.369,20.661,21.52,15 270 970
